# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Bear_Paw	9	6.68421	0.45029	0.15395	0.77240	0.01484	0.02795	0.45520	0.05938	0.05590	0.54480	0.05938	0.05590	0.32347	0.02130	0.03348	0.67653	0.02130	0.03348	0.34980	0.02494	0.03623	-0.23349	0.03278	0.15395
Rabbit_Slough	2	6.78947	0.61988	0.18063	0.84555	0.03084	0.04029	0.30890	0.12337	0.08058	0.69110	0.12337	0.08058	0.20275	0.04526	0.04880	0.79725	0.04526	0.04880	0.21941	0.05295	0.05279	-0.18313	0.06413	0.18063
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Bear_Paw	9	3660	19	17	0.46448	7.34290	0.58777	0.01267	0.99882	0.00034	0.00031	0.00236	0.00136	0.00061	0.99764	0.00136	0.00061	0.00168	0.00065	0.00042	0.99832	0.00065	0.00042	0.00182	0.00075	0.00045	-0.00121	0.00044	0.01267
Rabbit_Slough	2	3660	19	10	0.27322	7.25164	0.70490	0.01388	0.99920	0.00027	0.00027	0.00160	0.00110	0.00055	0.99840	0.00110	0.00055	0.00105	0.00043	0.00034	0.99895	0.00043	0.00034	0.00114	0.00051	0.00037	-0.00095	0.00049	0.01388
